stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
0001RLW,Railways,-1.290884,36.828242,0,
010044G,44 Githurai,-1.195514,36.902695,,
0100AAA,Sahala,-1.206232,36.790681,,
0100AAE,Aga Khan Hospital Entrance,-1.26177,36.82218,,
0100ACP,PCEA,-1.184213,36.907515,,
0100AEI,Nyari Police,-1.225512,36.788042,,
0100AEL,Membley Stage,-1.160297,36.922367,,
0100AKA,Chamoka,-1.218551,36.774437,,
0100AL2,Lane 26,-1.202838,36.769285,,
0100AMY,Kwa Nyama,-1.204494,36.786014,,
0100ANJ,Kwa Kiwanja,-1.171676,36.916509,,
0100A.P,A.P.,-1.178289,36.91196,,
0100APC,PCEA,-1.188633,36.737222,,
0100ARG,Arya Girls' Secondary School,-1.26081,36.81997,,
0100ARI,Kwa Daktari,-1.185329,36.733381,,
0100ASD,Ambassadors,-1.19794,36.75537,,
0100ASW,Car Wash,-1.204816,36.782559,,
0100AWA,Wataalam,-1.149612,36.947408,,
0100BKH,Bypass Stage Kiambu,-1.215781,36.835061,,
0100BKK,Kabuku,-1.154729,36.674563,,
0100BLD,God's Ability,-1.202672,36.768719,,
0100CAR,Kwa Machiri,-1.173731,36.712964,,
0100CBR,Cooperative Bank Ruaka,-1.20678,36.78464,,
0100CCD,Coca Cola Depot,-1.25983,36.8176,,
0100CHE,Commission Of Higher Education,-1.227579,36.797994,,
0100CHL,Chantilly School,-1.181032,36.762044,,
0100CTC,Christco,-1.19626,36.75305,,
0100CTR,Doctor's Park,-1.261466,36.821647,,
0100DPA,Delta Petrol Station Ruaka/Border,-1.208925,36.787827,,
0100EIE,Mfereji,-1.20309,36.770237,,
0100EIL,Milele,-1.200816,36.762284,,
0100EIO,Sovereign,-1.169498,36.700194,,
0100ESN,Dispensary,-1.190205,36.739137,,
0100GAO,Kahigo,-1.203959,36.773405,,
0100GUG,Guango,-1.195629,36.780871,,
0100GVS,Green Valley School,-1.124978,36.677156,,
0100HYD,Shady,-1.193876,36.749756,,
0100IKW,Kwa Viti,-1.186262,36.734438,,
0100ILL,Milele,-1.204421,36.77496,,
0100INT,Nish Raaj Estate,-1.257623,36.812493,,
0100ITS,Gwaiti,-1.186867,36.735148,,
0100JAK,Jakai,-1.219687,36.77222,,
0100JO.,O.J,-1.152971,36.920232,,
0100JOA,Kianjogu,-1.183204,36.730275,,
0100JYL,Joyland,-1.204897,36.776615,,
0100KCK,Kenchic,-1.132722,36.69801,,
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817,,
0100KMU,Kwa Sukuma,-1.179068,36.724052,,
0100KNA,Kona,-1.221391,36.779214,,
0100KNE,Kwa Njenga,-1.220364,36.778455,,
0100KSS,Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary,-1.189608,36.773253,,
0100KTC,Quickmart,-1.20672,36.783439,,
0100KWH,Kwa Chief,-1.216485,36.821754,,
0100LDL,Redhill,-1.169992,36.701473,,
0100LHH,Jamhuri School,-1.272504,36.822575,,
0100LIK,Likoni,-1.179095,36.760938,,
0100LMC,Limuru Catering,-1.124471,36.679689,,
0100LPS,Limuru Post Office,-1.118464,36.643126,,
0100LSM,Life Sanctuary/Muchatha,-1.191495,36.775223,,
0100..M,K.M.,-1.167727,36.919008,,
0100MCO,Stima Sacco,-1.272774,36.820861,,
0100MCY,Mothers Mercys/GD,-1.179957,36.725401,,
0100MFB,Mifereji/God's Ability,-1.20213,36.76693,,
0100MIS,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297,,
0100MOM,Mombasa,-1.17786,36.760345,,
0100MOU,Mugumo,-1.209636,36.799865,,
0100MRB,Maramba Tea Factory,-1.134476,36.703498,,
0100MRC,Movers/Rosslyn Centre,-1.210948,36.790209,,
0100NAM,National Oil/Muchatha,-1.193428,36.777892,,
0100NCE,Container,-1.204523,36.77554,,
0100NDT,Ndenderu Junction,-1.19233,36.7437,,
0100NJT,Kwa Njoki/Thimbigwa Ack,-1.183852,36.763684,,
0100NKD,Ndenderu Kwa Maduka,-1.19449,36.75061,,
0100NMT,New Muthaiga,-1.228621,36.798616,,
0100NRP,Round About Eastern Bypass,-1.155235,36.926119,,
0100NSO,Movers,-1.210059,36.789171,,
0100ONO,Ngomongo,-1.202822,36.890145,,
0100OOA,Kwa Soko,-1.149789,36.948829,,
0100OTN,Hilton,-1.150637,36.94259,,
0100OTS,Posta,-1.170669,36.708026,,
0100PEF,Pefa/All Nations/Muchatha,-1.197129,36.782933,,
0100PNA,Amani Plaza,-1.259626,36.817136,,
0100POA,Pa Mutoori,-1.202194,36.767171,,
0100POW,Power,-1.21731,36.778253,,
0100PSA,La Philla Carwash,-1.190634,36.906088,,
0100RBJ,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602,,
0100RCN,Ruaka Catholic Church Entrance,-1.20614,36.78059,,
0100REE,PCEA Ndenderu,-1.195537,36.75203,,
0100RES,Runda Estate Entrance,-1.21873,36.80177,,
0100RGH,Jamhuri High School,-1.272204,36.822395,,
0100RJI,Ruiru Road Junction,-1.152105,36.919942,,
0100RKH,Runda/Karura Carwash,-1.22091,36.80144,,
0100RRD,Ruaka Redeemed Gospel Church,-1.20651,36.78206,,
0100RRJ,Redhill Road Junction,-1.23398,36.80339,,
0100RRP,Rosslyn Road/Karura Community Chapel,-1.216398,36.799275,,
0100RUD,Runda Road,-1.215553,36.814957,,
0100RUI,Marurui/JuaKali,-1.211282,36.874438,,
0100RYA,Rumenye,-1.199645,36.758151,,
0100SAR,Car Wash,-1.217006,36.777211,,
0100SHT,Sacred Heart,-1.186278,36.767456,,
0100SKU,Kibutu Stage,-1.188274,36.771318,,
0100SLG,Slaughter/Bypass,-1.20578,36.78005,,
0100SNW,Good News/Nyari Gate 2,-1.22548,36.791518,,
0100S/R,Rosslyn Road/Riviera,-1.217129,36.800431,,
0100STI,Site,-1.178033,36.722459,,
0100T1I,Barrier 1/Nyari Gate 1,-1.226569,36.795694,,
0100TCP,Total/City Park,-1.25943,36.82673,,
0100TIG,Tigoni,-1.126686,36.671788,,
0100TOR,Metro,-1.215183,36.859565,,
0100TPS,Post,-1.149687,36.945525,,
0100TTM,Total/Muchatha,-1.193078,36.777371,,
0100UBP,Bumps,-1.206464,36.781838,,
0100UEA,Delta Petrol Station Ruaka/Border,-1.208793,36.787926,,
0100UMA,Munata,-1.220374,36.768392,,
0100UMT,Makutano,-1.192345,36.745231,,
0100VDA,Victory Gospel/Sda,-1.19432,36.7429,,
0100VEV,Velvet Lounge/Kigwaru,-1.202782,36.785553,,
0100VIN,Victory Inn,-1.181773,36.762476,,
0100VLU,6th Parklands Avenue/Regal House/Kobil,-1.257893,36.826952,,
0100WSI,Nyari West,-1.225469,36.785949,,
0100XAM,Maxx,-1.182003,36.728585,,
0101AGA,Aga Khan Academy,-1.26628,36.82331,,
0101AKE,Aga Khan Entrance,-1.26178,36.82224,,
0101AKH,Aga Khan Hospital Junction/3rd Parklands Ave,-1.26288,36.8249,,
0101AKN,Kwa Nyama,-1.20449,36.786019,,
0101ALM,Amani Plaza/Almond Court,-1.25962,36.81717,,
0101AME,Ambassadors Entrance,-1.19804,36.75538,,
0101ARA,Garage,-1.222204,36.780446,,
0101ARC,Car Wash,-1.204839,36.782516,,
0101ARR,Nish Raaj/Mulberry,-1.257581,36.81246,,
0101ARY,Arya Girls' Secondary School,-1.26085,36.82007,,
0101BKH,Bypass Stage Kiambu,-1.215448,36.83521,,
0101BLU,Blue Kiosk Stage,-1.154688,36.675681,,
0101CAV,Church Of Acts/Velvet Lounge,-1.203525,36.785397,,
0101CEF,Kwa Chief,-1.216448,36.821886,,
0101CHC,Christco Church,-1.19628,36.75294,,
0101CHF,Sub Chief,-1.219799,36.778197,,
0101CPK,City Park,-1.26057,36.82615,,
0101DGG,Ridgesways Girls,-1.215046,36.864683,,
0101DPB,Delta Petrol Station/Border,-1.20918,36.7882,,
0101ETA,Marrieta,-1.143779,36.661749,,
0101FRK,Furaha/Kag Ndenderu/Catholic,-1.1954,36.75175,,
0101GOG,Guango,-1.195673,36.780783,,
0101GRJ,Gacharage Junction,-1.20041,36.76058,,
0101GVS,Green Valley School,-1.125007,36.677194,,
0101HMO,Chamoka,-1.218749,36.774099,,
0101HUS,SDA Church,-1.220482,36.769727,,
