From,To,Town,Super (PMS),Diesel (AGO)
15-12-2025,14-01-2026,Nairobi,184.52,171.47
15-11-2025,14-12-2025,Nairobi,184.52,171.47
15-10-2025,14-11-2025,Nairobi,184.52,171.47
15-09-2025,14-10-2025,Nairobi,184.52,171.47
15-08-2025,14-09-2025,Nairobi,185.31,171.58
15-07-2025,14-08-2025,Nairobi,186.31,171.58
15-06-2025,14-07-2025,Nairobi,177.32,162.91
15-05-2025,14-06-2025,Nairobi,174.63,164.86
15-04-2025,14-05-2025,Nairobi,174.63,164.86
15-03-2025,14-04-2025,Nairobi,176.58,167.06
15-02-2025,14-03-2025,Nairobi,176.58,167.06
15-01-2025,14-02-2025,Nairobi,176.58,167.06
15-12-2024,14-01-2025,Nairobi,176.29,165.06
15-11-2024,14-12-2024,Nairobi,180.66,168.06
16-04-2026,14-05-2026,Nairobi,197.6,196.63
15-04-2026,14-05-2026,Nairobi,206.97,206.84
15-03-2026,14-04-2026,Nairobi,178.28,166.54
15-02-2026,14-03-2026,Nairobi,178.28,166.54
15-01-2026,14-02-2026,Nairobi,182.52,170.47
