trip_id,arrival_time,departure_time,stop_id,stop_sequence
10106110,06:00:00,06:00:20,0110BAA,1
10106110,06:00:34,06:00:54,0110BNI,2
10106110,06:01:10,06:01:30,0110UMK,3
10106110,06:01:49,06:02:09,0110AEA,4
10106110,06:02:45,06:03:05,0100MOM,5
10106110,06:03:31,06:03:51,0100LIK,6
10106110,06:04:27,06:04:47,0100CHL,7
10106110,06:05:07,06:05:27,0100VIN,8
10106110,06:06:06,06:06:26,0100NJT,9
10106110,06:07:30,06:07:50,0100SHT,10
10106110,06:08:57,06:09:17,0110TVM,11
10106110,06:09:50,06:10:10,0100KSS,12
10106110,06:10:38,06:10:58,0100MIS,13
10106110,06:11:22,06:11:42,0100LSM,14
10106110,06:12:24,06:12:44,0100TTM,15
10106110,06:13:01,06:13:21,0100NAM,16
10106110,06:13:54,06:14:14,0110WAM,17
10106110,06:14:45,06:15:05,0100GUG,18
10106110,06:15:45,06:16:05,0100PEF,19
10106110,06:16:44,06:17:04,0110GTH,20
10106110,06:18:01,06:18:21,0100VEV,21
10106110,06:18:51,06:19:11,0110PBS,22
10106110,06:19:54,06:20:14,0100RBJ,23
10106110,06:20:54,06:21:14,0100DPA,24
10106110,06:21:45,06:22:05,0100NSO,25
10106110,06:22:22,06:22:42,0110ROS,26
10106110,06:23:00,06:23:20,0100MRC,27
10106110,06:24:40,06:25:00,0110RRS,28
10106110,06:26:08,06:26:28,0100RRP,29
10106110,06:27:19,06:27:39,0100RES,30
10106110,06:28:15,06:28:35,0100RKH,31
10106110,06:30:39,06:30:59,0110VMT,32
10106110,06:31:56,06:32:16,0100RRJ,33
10106110,06:33:59,06:34:19,0110UNA,34
10106110,06:35:25,06:35:45,0110SSA,35
10106110,06:37:08,06:37:28,0110R/B,36
10106110,06:38:44,06:39:04,0110MTS,37
10106110,06:41:08,06:41:28,0110IDR,38
10106110,06:41:49,06:42:09,0110RTU,39
10106110,06:42:36,06:42:56,0100TCP,40
10106110,06:43:27,06:43:47,0110HUN,41
10106110,06:44:26,06:44:46,0110TPA,42
10106110,06:45:08,06:45:28,0110AAN,43
10106110,06:46:10,06:46:30,0110AGK,44
10106110,06:47:33,06:47:53,0110PMA,45
10106110,06:48:35,06:48:55,0110HHH,46
10106110,06:49:34,06:49:54,0110IRT,47
10106110,06:50:41,06:51:01,0110SAI,48
10106110,06:52:08,06:52:28,0800NGR,49
10106110,06:53:30,06:53:50,0102KHJ,50
10106111,06:00:00,06:00:20,0102KHJ,1
10106111,06:01:39,06:01:59,0811ANG,2
10106111,06:02:37,06:02:57,0101JHS,3
10106111,06:03:53,06:04:13,0101STP,4
10106111,06:04:33,06:04:53,0111SPS,5
10106111,06:05:25,06:05:45,0101WBR,6
10106111,06:06:27,06:06:47,0101AGA,7
10106111,06:07:19,06:07:39,0111OLB,8
10106111,06:08:25,06:08:45,0111ACP,9
10106111,06:09:13,06:09:33,0101CPK,10
10106111,06:09:59,06:10:19,0111ATA,11
10106111,06:10:47,06:11:07,0111RHK,12
10106111,06:13:15,06:13:35,0111GIM,13
10106111,06:14:58,06:15:18,0111BEK,14
10106111,06:17:11,06:17:31,0111KOG,15
10106111,06:17:57,06:18:17,0111TUN,16
10106111,06:20:06,06:20:26,0111RHR,17
10106111,06:21:46,06:22:06,0111VMA,18
10106111,06:23:26,06:23:46,0111AES,19
10106111,06:24:28,06:24:48,0111KRU,20
10106111,06:25:25,06:25:45,0101REE,21
10106111,06:26:17,06:26:37,0101ROR,22
10106111,06:27:03,06:27:23,0101ROK,23
10106111,06:28:30,06:28:50,0111TOE,24
10106111,06:30:10,06:30:30,0101SHR,25
10106111,06:30:51,06:31:11,0111OLS,26
10106111,06:31:44,06:32:04,0101DPB,27
10106111,06:32:44,06:33:04,0111AAR,28
10106111,06:33:20,06:33:40,0101RKJ,29
10106111,06:34:18,06:34:38,0111YSB,30
10106111,06:35:03,06:35:23,0101CAV,31
10106111,06:36:03,06:36:23,0111SAR,32
10106111,06:37:04,06:37:24,0111KEA,33
10106111,06:37:56,06:38:16,0101MUC,34
10106111,06:38:57,06:39:17,0101GOG,35
10106111,06:39:59,06:40:19,0111JEK,36
10106111,06:40:45,06:41:05,0101NTO,37
10106111,06:41:40,06:42:00,0101MCC,38
10106111,06:42:22,06:42:42,0101LSC,39
10106111,06:43:05,06:43:25,0101MIC,40
10106111,06:43:51,06:44:11,0101MDS,41
10106111,06:44:50,06:45:10,0111KIV,42
10106111,06:46:01,06:46:21,0111TRI,43
10106111,06:46:41,06:47:01,0101SHT,44
10106111,06:47:50,06:48:10,0101NJK,45
10106111,06:48:35,06:48:55,0101KAT,46
10106111,06:49:35,06:49:55,0101VRY,47
10106111,06:50:13,06:50:33,0111BAG,48
10106111,06:51:09,06:51:29,0101ZAK,49
10106111,06:51:45,06:52:05,0101LIK,50
10106111,06:52:26,06:52:46,0101MOM,51
10106111,06:53:22,06:53:42,0111SNH,52
10106111,06:53:58,06:54:18,0101MKB,53
10106111,06:54:36,06:54:56,0101KOB,54
10106111,06:55:17,06:55:37,0113BAA,55
10107110,06:00:00,06:00:20,0110KRS,1
10107110,06:01:13,06:01:33,0110REU,2
10107110,06:03:11,06:03:31,0100VDA,3
10107110,06:04:06,06:04:26,0100NDT,4
10107110,06:04:44,06:05:04,0110NGP,5
10107110,06:05:43,06:06:03,0110NSG,6
10107110,06:07:04,06:07:24,0100NKD,7
10107110,06:07:55,06:08:15,0100REE,8
10107110,06:08:40,06:09:00,0100CTC,9
10107110,06:09:44,06:10:04,0100ASD,10
10107110,06:10:28,06:10:48,0110AST,11
10107110,06:11:23,06:11:43,0100RYA,12
10107110,06:12:24,06:12:44,0110CEJ,13
10107110,06:13:46,06:14:06,0110AIG,14
10107110,06:14:43,06:15:03,0100MFB,15
10107110,06:15:35,06:15:55,0100BLD,16
10107110,06:16:24,06:16:44,0100EIE,17
10107110,06:17:23,06:17:43,0110PMT,18
10107110,06:18:44,06:19:04,0100JYL,19
10107110,06:19:57,06:20:17,0100SLG,20
10107110,06:20:34,06:20:54,0100RCN,21
10107110,06:21:22,06:21:42,0100RRD,22
10107110,06:22:08,06:22:28,0100KTC,23
10107110,06:22:52,06:23:12,0100CBR,24
10107110,06:23:39,06:23:59,0100RBJ,25
10107110,06:24:39,06:24:59,0100DPA,26
10107110,06:25:30,06:25:50,0100NSO,27
10107110,06:26:16,06:26:36,0100MRC,28
10107110,06:27:21,06:27:41,0110REV,29
10107110,06:29:05,06:29:25,0110CUT,30
10107110,06:29:54,06:30:14,0100RRP,31
10107110,06:31:05,06:31:25,0100RES,32
10107110,06:32:01,06:32:21,0100RKH,33
10107110,06:34:25,06:34:45,0110VMT,34
10107110,06:35:42,06:36:02,0100RRJ,35
10107110,06:37:45,06:38:05,0110UNA,36
10107110,06:40:22,06:40:42,0110R/B,37
10107110,06:41:58,06:42:18,0110MTS,38
10107110,06:44:31,06:44:51,0100VLU,39
10107110,06:45:19,06:45:39,0100TCP,40
10107110,06:46:10,06:46:30,0110YSP,41
10107110,06:47:08,06:47:28,0110TPA,42
10107110,06:47:51,06:48:11,0110YIL,43
10107110,06:48:52,06:49:12,0110AGK,44
10107110,06:50:16,06:50:36,0110ASP,45
10107110,06:51:20,06:51:40,0100RGH,46
10107110,06:52:18,06:52:38,0110IRT,47
10107110,06:53:26,06:53:46,0100MCO,48
10107110,06:54:51,06:55:11,0800NGR,49
10107110,06:56:41,06:57:01,0212SNT,50
10107111,06:00:00,06:00:20,0212SNT,1
10107111,06:01:59,06:02:19,0811ANG,2
10107111,06:02:57,06:03:17,0101JHS,3
10107111,06:04:13,06:04:33,0101STP,4
10107111,06:04:53,06:05:13,0111SPS,5
10107111,06:05:45,06:06:05,0101WBR,6
10107111,06:06:47,06:07:07,0101AGA,7
10107111,06:07:39,06:07:59,0111OLB,8
10107111,06:09:03,06:09:23,0101CPK,9
10107111,06:10:08,06:10:28,0111RHK,10
10107111,06:12:35,06:12:55,0111AIT,11
10107111,06:14:19,06:14:39,0111BEK,12
10107111,06:16:46,06:17:06,0111TUN,13
10107111,06:18:55,06:19:15,0111RHR,14
10107111,06:20:35,06:20:55,0111VMA,15
10107111,06:22:47,06:23:07,0111KRU,16
10107111,06:23:44,06:24:04,0101REE,17
10107111,06:24:36,06:24:56,0101ROR,18
10107111,06:25:22,06:25:42,0101ROK,19
10107111,06:27:59,06:28:19,0101SHR,20
10107111,06:29:03,06:29:23,0101DPB,21
10107111,06:30:10,06:30:30,0111RST,22
10107111,06:31:05,06:31:25,0101RCK,23
10107111,06:32:00,06:32:20,0101RDC,24
10107111,06:32:44,06:33:04,0101RCC,25
10107111,06:33:29,06:33:49,0111BPY,26
10107111,06:34:21,06:34:41,0101SLT,27
10107111,06:35:02,06:35:22,0111LON,28
10107111,06:36:00,06:36:20,0101PMR,29
10107111,06:36:57,06:37:17,0101PMV,30
10107111,06:37:48,06:38:08,0111MCM,31
10107111,06:39:11,06:39:31,0101KTO,32
10107111,06:40:14,06:40:34,0111IGA,33
10107111,06:41:21,06:41:41,0101GRJ,34
10107111,06:42:24,06:42:44,0101RMY,35
10107111,06:43:18,06:43:38,0111AMB,36
10107111,06:43:59,06:44:19,0101AME,37
10107111,06:45:05,06:45:25,0101CHC,38
10107111,06:45:52,06:46:12,0101FRK,39
10107111,06:46:54,06:47:14,0101OTA,40
10107111,06:47:45,06:48:05,0111NDS,41
10107111,06:48:52,06:49:12,0101REN,42
10107111,06:49:37,06:49:57,0101NDJ,43
10107111,06:50:28,06:50:48,0111RNE,44
10107111,06:53:14,06:53:34,0113KAR,45
10108110,06:00:00,06:00:20,0110SIH,1
10108110,06:00:52,06:01:12,0100UMA,2
10108110,06:01:38,06:01:58,0110UMI,3
10108110,06:02:39,06:02:59,0100JAK,4
10108110,06:03:39,06:03:59,0100AKA,5
10108110,06:04:47,06:05:07,0100SAR,6
10108110,06:05:30,06:05:50,0100POW,7
10108110,06:06:36,06:06:56,0100KNE,8
10108110,06:07:21,06:07:41,0100KNA,9
10108110,06:08:15,06:08:35,0110KKB,10
10108110,06:09:55,06:10:15,0100WSI,11
10108110,06:10:50,06:11:10,0100AEI,12
10108110,06:12:02,06:12:22,0100SNW,13
10108110,06:13:24,06:13:44,0100T1I,14
10108110,06:14:24,06:14:44,0100CHE,15
10108110,06:15:08,06:15:28,0100NMT,16
10108110,06:16:54,06:17:14,0110RNO,17
10108110,06:17:47,06:18:07,0112POL,18
10108110,06:19:48,06:20:08,0110/PU,19
10108111,06:00:00,06:00:20,0111TUN,1
10108111,06:02:04,06:02:24,0112POL,2
10108111,06:04:12,06:04:32,0101MTH,3
10108111,06:04:52,06:05:12,0101RIH,4
10108111,06:05:56,06:06:16,0101NYR,5
10108111,06:07:18,06:07:38,0101NYG,6
10108111,06:08:31,06:08:51,0101NYP,7
10108111,06:09:27,06:09:47,0101NGG,8
10108111,06:10:23,06:10:43,0101YSA,9
10108111,06:11:05,06:11:25,0101RSH,10
10108111,06:11:47,06:12:07,0101SDA,11
10108111,06:12:27,06:12:47,0101HWO,12
10108111,06:13:05,06:13:25,0101KKB,13
10108111,06:13:37,06:13:57,0101ARA,14
10108111,06:14:15,06:14:35,0101IRR,15
10108111,06:15:03,06:15:23,0111KNA,16
10108111,06:15:47,06:16:07,0101CHF,17
10108111,06:16:41,06:17:01,0101N'G,18
10108111,06:17:14,06:17:34,0101POW,19
10108111,06:17:58,06:18:18,0111CRA,20
10108111,06:19:01,06:19:21,0101WIA,21
10108111,06:19:38,06:19:58,0101HMO,22
10108111,06:20:33,06:20:53,0101JAK,23
10108111,06:21:34,06:21:54,0101HUS,24
10108111,06:22:33,06:22:53,0101LMA,25
10108111,06:23:12,06:23:32,0113GCH,26
10114110,06:00:00,06:00:20,0113LMD,1
10114110,06:09:39,06:09:59,0110SPU,2
10114110,06:10:56,06:11:16,0110BUK,3
10114110,06:12:40,06:13:00,0110OLB,4
10114110,06:13:29,06:13:49,0100BKK,5
10114110,06:19:57,06:20:17,0100EIO,6
10114110,06:20:43,06:21:03,0100LDL,7
10114110,06:22:32,06:22:52,0100OTS,8
10114110,06:24:12,06:24:32,0100CAR,9
10114110,06:25:55,06:26:15,0110FRM,10
10114110,06:27:17,06:27:37,0100STI,11
10114110,06:28:10,06:28:30,0100KMU,12
10114110,06:28:59,06:29:19,0100MCY,13
10114110,06:29:52,06:30:12,0110KAU,14
10114110,06:30:30,06:30:50,0110ACG,15
10114110,06:31:14,06:31:34,0100XAM,16
10114110,06:32:09,06:32:29,0100JOA,17
10114110,06:33:24,06:33:44,0100ARI,18
10114110,06:34:11,06:34:31,0100IKW,19
10114110,06:34:52,06:35:12,0100ITS,20
10114110,06:35:54,06:36:14,0100APC,21
10114110,06:36:54,06:37:14,0100ESN,22
10114110,06:38:25,06:38:45,0100NDT,23
10114110,06:39:13,06:39:33,0100UMT,24
10114110,06:40:02,06:40:22,0110NSG,25
10114110,06:40:47,06:41:07,0110GAC,26
10114110,06:41:40,06:42:00,0100HYD,27
10114110,06:42:59,06:43:19,0100CTC,28
10114110,06:44:03,06:44:23,0100ASD,29
10114110,06:44:47,06:45:07,0110AST,30
10114110,06:45:42,06:46:02,0100RYA,31
10114110,06:46:43,06:47:03,0110COH,32
10114110,06:47:33,06:47:53,0100EIL,33
10114110,06:49:01,06:49:21,0100MFB,34
10114110,06:49:34,06:49:54,0100POA,35
10114110,06:50:30,06:50:50,0100AL2,36
10114110,06:51:08,06:51:28,0110LCM,37
10114110,06:52:10,06:52:30,0110PMT,38
10114110,06:52:50,06:53:10,0100GAO,39
10114110,06:53:39,06:53:59,0100ILL,40
10114110,06:54:16,06:54:36,0100NCE,41
10114110,06:54:59,06:55:19,0110LJA,42
10114110,06:55:43,06:56:03,0110TUQ,43
10114110,06:56:42,06:57:02,0100SLG,44
10114110,06:57:19,06:57:39,0100RCN,45
