time,temperature_c,rain,wind_speed,Super (PMS),Diesel (AGO),demand,demand_lag_1h,demand_lag_24h,demand_lag_168h
2024-01-01 00:00:00,15.4,0.0,4.6,180.66,168.06,74.6,,,
2024-01-01 01:00:00,16.6,0.0,3.6,180.66,168.06,73.8,74.6,,
2024-01-01 02:00:00,15.8,0.0,6.2,180.66,168.06,78.2,73.8,,
2024-01-01 03:00:00,15.4,0.0,6.4,180.66,168.06,78.2,78.2,,
2024-01-01 04:00:00,16.4,0.0,4.4,180.66,168.06,75.2,78.2,,
2024-01-01 05:00:00,18.5,0.0,4.6,180.66,168.06,77.7,75.2,,
2024-01-01 06:00:00,20.5,0.0,7.6,180.66,168.06,85.7,77.7,,
2024-01-01 07:00:00,22.7,0.0,9.9,180.66,168.06,92.5,85.7,,
2024-01-01 08:00:00,24.3,0.1,11.5,180.66,168.06,98.3,92.5,,
2024-01-01 09:00:00,25.8,0.0,10.8,180.66,168.06,97.4,98.3,,
2024-01-01 10:00:00,26.9,0.0,12.1,180.66,168.06,101.1,97.4,,
2024-01-01 11:00:00,26.7,0.1,12.2,180.66,168.06,102.1,101.1,,
2024-01-01 12:00:00,26.3,0.3,11.8,180.66,168.06,102.9,102.1,,
2024-01-01 13:00:00,26.2,0.0,7.4,180.66,168.06,91.0,102.9,,
2024-01-01 14:00:00,25.5,0.2,11.0,180.66,168.06,99.5,91.0,,
2024-01-01 15:00:00,22.6,0.0,17.6,180.66,168.06,107.80000000000001,99.5,,
2024-01-01 16:00:00,20.0,0.0,11.2,180.66,168.06,92.4,107.80000000000001,,
2024-01-01 17:00:00,20.0,0.0,10.1,180.66,168.06,90.2,92.4,,
2024-01-01 18:00:00,19.5,0.0,7.4,180.66,168.06,84.3,90.2,,
2024-01-01 19:00:00,18.6,0.0,5.0,180.66,168.06,78.6,84.3,,
2024-01-01 20:00:00,18.3,0.0,7.6,180.66,168.06,83.5,78.6,,
2024-01-01 21:00:00,17.5,0.0,6.0,180.66,168.06,79.5,83.5,,
2024-01-01 22:00:00,17.0,0.1,5.8,180.66,168.06,79.6,79.5,,
2024-01-01 23:00:00,16.6,0.0,6.8,180.66,168.06,80.2,79.6,,
2024-01-02 00:00:00,16.3,0.1,4.8,180.66,168.06,76.9,80.2,74.6,
2024-01-02 01:00:00,15.9,0.0,5.7,180.66,168.06,77.3,76.9,73.8,
2024-01-02 02:00:00,15.8,0.0,4.8,180.66,168.06,75.4,77.3,78.2,
2024-01-02 03:00:00,15.4,0.0,4.2,180.66,168.06,73.8,75.4,78.2,
2024-01-02 04:00:00,16.2,0.0,5.7,180.66,168.06,77.6,73.8,75.2,
2024-01-02 05:00:00,18.7,0.0,4.5,180.66,168.06,77.7,77.6,77.7,
2024-01-02 06:00:00,20.9,0.0,4.9,180.66,168.06,80.7,77.7,85.7,
2024-01-02 07:00:00,23.0,0.0,9.0,180.66,168.06,91.0,80.7,92.5,
2024-01-02 08:00:00,24.9,0.0,12.0,180.66,168.06,98.9,91.0,98.3,
2024-01-02 09:00:00,25.9,0.0,13.8,180.66,168.06,103.5,98.9,97.4,
2024-01-02 10:00:00,25.8,0.1,12.5,180.66,168.06,101.8,103.5,101.1,
2024-01-02 11:00:00,25.7,0.2,9.1,180.66,168.06,95.9,101.8,102.1,
2024-01-02 12:00:00,26.8,0.1,8.2,180.66,168.06,94.2,95.9,102.9,
2024-01-02 13:00:00,25.7,0.2,10.2,180.66,168.06,98.1,94.2,91.0,
2024-01-02 14:00:00,23.9,0.4,11.2,180.66,168.06,100.3,98.1,99.5,
2024-01-02 15:00:00,21.9,0.2,8.2,180.66,168.06,90.3,100.3,107.80000000000001,
2024-01-02 16:00:00,20.2,0.1,8.4,180.66,168.06,88.0,90.3,92.4,
2024-01-02 17:00:00,19.6,0.0,5.5,180.66,168.06,80.6,88.0,90.2,
2024-01-02 18:00:00,18.6,0.0,11.9,180.66,168.06,92.4,80.6,84.3,
2024-01-02 19:00:00,18.0,0.0,10.2,180.66,168.06,88.4,92.4,78.6,
2024-01-02 20:00:00,17.3,0.1,9.7,180.66,168.06,87.7,88.4,83.5,
2024-01-02 21:00:00,16.9,0.1,9.5,180.66,168.06,86.9,87.7,79.5,
2024-01-02 22:00:00,17.0,0.2,6.3,180.66,168.06,81.6,86.9,79.6,
2024-01-02 23:00:00,17.4,0.1,6.5,180.66,168.06,81.4,81.6,80.2,
2024-01-03 00:00:00,17.2,0.1,8.2,180.66,168.06,84.6,81.4,76.9,
2024-01-03 01:00:00,17.2,0.1,7.6,180.66,168.06,83.4,84.6,77.3,
2024-01-03 02:00:00,17.0,0.1,8.4,180.66,168.06,84.8,83.4,75.4,
2024-01-03 03:00:00,16.5,0.0,6.0,180.66,168.06,78.5,84.8,73.8,
2024-01-03 04:00:00,16.4,0.0,4.7,180.66,168.06,75.8,78.5,77.6,
2024-01-03 05:00:00,18.1,0.0,5.7,180.66,168.06,79.5,75.8,77.7,
2024-01-03 06:00:00,20.2,0.0,10.0,180.66,168.06,90.2,79.5,80.7,
2024-01-03 07:00:00,22.1,0.0,8.7,180.66,168.06,89.5,90.2,91.0,
2024-01-03 08:00:00,24.0,0.0,9.7,180.66,168.06,93.4,89.5,98.9,
2024-01-03 09:00:00,24.8,0.1,8.9,180.66,168.06,93.6,93.4,103.5,
2024-01-03 10:00:00,25.5,0.1,8.1,180.66,168.06,92.7,93.6,101.8,
2024-01-03 11:00:00,25.7,0.0,12.3,180.66,168.06,100.3,92.7,95.9,
2024-01-03 12:00:00,26.0,0.2,6.6,180.66,168.06,91.2,100.3,94.2,
2024-01-03 13:00:00,25.7,0.1,10.5,180.66,168.06,97.7,91.2,98.1,
2024-01-03 14:00:00,25.0,0.0,8.0,180.66,168.06,91.0,97.7,100.3,
2024-01-03 15:00:00,22.9,0.2,10.3,180.66,168.06,95.5,91.0,90.3,
2024-01-03 16:00:00,20.4,0.1,11.6,180.66,168.06,94.6,95.5,88.0,
2024-01-03 17:00:00,19.4,0.0,10.8,180.66,168.06,91.0,94.6,80.6,
2024-01-03 18:00:00,18.1,0.1,12.8,180.66,168.06,94.7,91.0,92.4,
2024-01-03 19:00:00,17.4,0.1,10.0,180.66,168.06,88.4,94.7,88.4,
2024-01-03 20:00:00,17.0,0.0,7.3,180.66,168.06,81.6,88.4,87.7,
2024-01-03 21:00:00,17.0,0.1,3.8,180.66,168.06,75.6,81.6,86.9,
2024-01-03 22:00:00,17.4,0.1,2.9,180.66,168.06,74.2,75.6,81.6,
2024-01-03 23:00:00,16.7,0.1,3.4,180.66,168.06,74.5,74.2,81.4,
2024-01-04 00:00:00,17.1,0.0,5.3,180.66,168.06,77.7,74.5,84.6,
2024-01-04 01:00:00,16.2,0.0,4.4,180.66,168.06,75.0,77.7,83.4,
2024-01-04 02:00:00,15.6,0.0,4.3,180.66,168.06,74.2,75.0,84.8,
2024-01-04 03:00:00,15.1,0.0,4.3,180.66,168.06,73.7,74.2,78.5,
