route_name,route_id,total_revenue_baseline,total_revenue_scenario_C,surge_revenue_gain,revenue_uplift_percent
Railways-Langata Road-Bomas-Ongata Rongai,50205012511,188773.775940102,230965.69163160468,42191.91569150268,22.350517428273616
Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,20000145011,213931.50953151355,252172.0139886986,38240.504457185045,17.87511551754463
Odeon-UN-Ruaka-Ndenderu,10400010711,214676.89747375733,251922.635426746,37245.73795298868,17.34967217771614
Railways-Mombasa Road-Mlolongo-Kitengela,50800011011,235001.9526552634,265894.1746098891,30892.22195462571,13.14551713531637
OTC-Donholm-Kayole,40703196011,145674.70759379125,174166.97814338768,28492.270549596433,19.558831467879873
Commercial-Jogoo Road-Pipeline-Cabanas,40700033C11,192714.0644661958,221059.05136144607,28344.986895250273,14.708312532229478
Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,20100012011,140190.18035759404,168255.1779716888,28064.997614094755,20.019232119187787
Ngong-Kiserian,70400012611,125657.0747394828,153106.98726040087,27449.912520918064,21.84509911425863
Makadara-Harambee-Outering-Kariobangi,40501002611,132117.68665514636,158810.75803006373,26693.071374917374,20.20401056869217
Cabanas-Utawala-Githunguri,50703033J01,142201.9171876647,168262.5987836167,26060.681595952017,18.326533222164358
Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,20000237011,120237.34594420333,146128.6588084283,25891.312864224965,21.533503306235602
Bus Station-Pangani-Roysambu-Kasarani-Mwiki,21000017B11,149927.3770401433,175088.2543944539,25160.877354310593,16.7820433139264
Odeon-Pangani-Roysambu-Zimmerman-KU,21100004412,123015.93414782449,147509.0846588294,24493.15051100492,19.91055116613775
Bus Station-Nyayo Stadium-T Mall-Highrise,50203001611,136695.59262693263,160378.52841072532,23682.935783792695,17.325310442471817
Church Army-Biafra-Joster,40200000601,196286.37391930565,219331.80958548465,23045.435666178993,11.74072107300382
Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,40705019C11,98206.88890181016,121153.96825848825,22947.079356678092,23.366058749321738
Donholm-Mutindwa-Umoja 2,40704356001,75618.04961409309,98341.20198503409,22723.152370940996,30.04990539547854
Bypass-Ruiru Ndani-Ruiru,50700014501,119378.09582662178,142080.06602195723,22701.970195335452,19.01686405545164
Odeon-Pangani-Roysambu-Kasarani-Sunton,21000004911,74885.59484224283,97422.8276880952,22537.23284585237,30.095551612202932
Allsops-Rounda,20800203001,161902.9171559834,184020.94106751634,22118.023911532946,13.661288073162762
Donholm-Rounda-Carbanas,40700003311,121844.40289369198,143529.8633543107,21685.460460618735,17.79766648742912
Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,50301012D11,183931.67506441445,205596.01524096323,21664.34017654878,11.77847163571024
Ngara-Pangani-Alssops-Drive in-Mathare,20701293011,114115.91066524161,134875.2211467806,20759.31048153898,18.19142515756309
Railways-Ngong Road-Kawangware-Dagoretti Market,70601000211,160630.13953472802,181274.49025602208,20644.35072129406,12.852102837668756
Bomas-Karen Hospital-Karen,50000002412,134076.28030066937,154483.2129188448,20406.93261817543,15.220389894776599
Muthurwa-Makadara-Maringo,40401001011,115503.642201688,135408.47345523976,19904.83125355176,17.233076701420995
Odeon-Pangani-Alssops-Baba Dogo,20801002511,140398.80564323344,158983.59748943048,18584.79184619704,13.237143835413203
Bus Station-Nairobi West-Madaraka-Strathmore,50201014A11,112749.45219822193,130853.60974459365,18104.157546371716,16.056980493832697
Roysambu-Githurai-KU,21100004421,132215.5978881487,149787.49073587047,17571.892847721756,13.290332705364433
Ronald Ngala-Juja Road-Eastleigh-Huruma,30000004611,130884.7114834309,148132.84225364192,17248.13077021102,13.17810963153975
Aquinas-Jerusalem-Outering-Kariobangi,40403002611,184839.725446778,202070.08311043595,17230.357663657953,9.321782761800948
Munyu Road-Pangani-Roysabu-Githurai,20000004512,138609.26996290617,155566.6457090078,16957.375746101636,12.233940594766622
Nation Building-Museum Hill-Graffins College-Westlands,20000002311,133977.3517159111,150543.46121297305,16566.10949706196,12.364858153181853
